Name,RA,Dec,AVM code,AVM description,Source
NGC 3592,168.6135083,17.2602028,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3593,168.6541750,12.8180194,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3594,169.0583333,55.7041778,5;5.1.2,Barred Galaxy,Simbad
NGC 3595,168.8564625,47.4471472,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3596,168.7759250,14.7871250,5;5.1.1,Spiral Galaxy,Simbad
NGC 3597,168.6748667,-23.7276667,5;5.1.3,Lenticular Galaxy,Simbad
NGC 3598,168.7986917,17.2627556,5.5.3;5.1.4,Elliptical Galaxy,Simbad
NGC 3599,168.8623042,18.1103694,5.3.2;5.1.5,Ring Galaxy,Simbad
NGC 3600,168.9665833,41.5913778,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3601,168.8887958,5.1153889,5,Galaxy,Simbad
NGC 3602,168.9513417,17.4160889,5,Galaxy,Simbad
NGC 3603,168.8480000,-61.2500000,4.2.1.1,HII (ionized) region,Simbad
NGC 3604,169.3756542,4.5554278,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3605,169.1942583,18.0171417,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3606,169.0651875,-33.8274083,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3607,169.2277375,18.0518083,5.3.2.1,Quasar,Simbad
NGC 3608,169.2456958,18.1485306,5.3.2.4;5.1.4,Elliptical Galaxy,Simbad
NGC 3609,169.4608292,26.6259083,5.3.2;5.1.1,Spiral Galaxy,Simbad
NGC 3610,169.6053167,58.7862472,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3611,169.3756542,4.5554278,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3612,169.5612042,26.6206389,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3613,169.6505417,57.9999250,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3614,169.5891417,45.7482917,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3615,169.5277542,23.3972806,5.3.2.1;5.1.4,Elliptical Galaxy,Simbad
NGC 3616,0.0000000,0.0000000,3,*,NED*
NGC 3617,169.4619125,-26.1344694,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3618,169.6356667,23.4688917,5;5.1.1,Spiral Galaxy,Simbad
NGC 3619,169.8400875,57.7576833,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3620,169.0195000,-76.2163167,5;5.1.1,Spiral Galaxy,Simbad
NGC 3621,169.5679167,-32.8126000,5.3.2,Active Galaxy Nucleus,Simbad
NGC 3622,170.0517875,67.2417972,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3623,169.7331542,13.0922111,5.3.2.4,LINER-type Active Galaxy Nucleus,Simbad
NGC 3624,169.7122958,7.5214667,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3625,170.1302333,57.7813250,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3626,170.0158083,18.3567917,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3627,170.0626083,12.9912889,5.3.2.4,LINER-type Active Galaxy Nucleus,Simbad
NGC 3628,170.0709083,13.5894889,5.3.2.4,LINER-type Active Galaxy Nucleus,Simbad
NGC 3629,170.1325667,26.9634083,5.5.3;5.1.1,Spiral Galaxy,Simbad
NGC 3630,170.0707875,2.9641694,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3631,170.2622667,53.1694306,5.1.7,Interacting Galaxies,Simbad
NGC 3632,170.0158083,18.3567917,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3633,170.1092208,3.5854861,5;5.1.1,Spiral Galaxy,Simbad
NGC 3634,170.1262500,-9.0136111,5,Galaxy,Simbad
NGC 3635,170.1305542,-9.0137556,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3636,170.1029208,-10.2827806,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3637,170.1648875,-10.2573611,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 3638,170.0445208,-8.1064500,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3639,170.3988500,18.4581611,5.5.3,Galaxy in Cluster of Galaxies,Simbad
NGC 3640,170.2785500,3.2347639,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3641,170.2866208,3.1944889,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3642,170.5750583,59.0742417,5.3.2.4,LINER-type Active Galaxy Nucleus,Simbad
NGC 3643,170.3539750,3.0139417,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3644,170.3869167,2.8105306,5,Galaxy,Simbad
NGC 3645,170.4166542,2.9638639,5,Galaxy,Simbad
NGC 3646,170.4296125,20.1695417,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 3647,170.4088750,2.9033083,5,Galaxy,Simbad
NGC 3648,170.6311958,39.8769722,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3649,170.5614167,20.2086278,5.5.1;5.1.3,Lenticular Galaxy,Simbad
NGC 3650,170.6474167,20.7040278,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3651,170.6098000,24.2991111,5.5.2;5.1.4,Elliptical Galaxy,Simbad
NGC 3652,170.6627333,37.7650389,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3653,170.6253375,24.2793861,5;5.1.4,Elliptical Galaxy,Simbad
NGC 3654,171.0446917,69.4130944,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3655,170.7275250,16.5901750,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3656,170.9108125,53.8420500,5.5.1,Galaxy in Pair of Galaxies,Simbad
NGC 3657,170.9814917,52.9209750,5,HII Galaxy,Simbad
NGC 3658,170.9927042,38.5624250,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3659,170.9395750,17.8185750,5;5.1.1,Spiral Galaxy,Simbad
NGC 3660,170.8845500,-8.6585667,5.3.2.2;5.1.2,Barred Galaxy,Simbad
NGC 3661,170.9101708,-13.8311250,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 3662,170.9436208,-1.1049028,5;5.1.1,Spiral Galaxy,Simbad
NGC 3663,171.0062500,-12.2919389,5;5.1.1,Spiral Galaxy,Simbad
NGC 3664,171.1010750,3.3249861,5.1.7,Interacting Galaxies,Simbad
NGC 3665,171.1817917,38.7627917,5,Radio Galaxy,Simbad
NGC 3666,171.1086750,11.3420111,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 3667,171.0709250,-13.8572056,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 3668,171.3767833,63.4462250,5,Radio Galaxy,Simbad
NGC 3669,171.3617250,57.7211639,5.5.2,Galaxy in Group of Galaxies,Simbad
