P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
Kepler-299 b,Kepler-299 b,1432.03,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,2.23,,1.32,0.97,1.28,1.30,        592.1912,        592.1912,        592.1913,1256.8,1256.8,1256.8,1294.1,1294.1,1294.1,2.2,-24.75,2.51,2.93,0.0400,0.00,0.04,,0.0,Kepler-299,,,Dra,G,0.97,1.03,5617.0,0.947506,-0.052,,,,18.8805,48.5805,-33.7,13.7556,4,0,0.738,1.745,-2.38,-0.16,-1.02,0.28,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-299 c,Kepler-299 c,1432.01,Hot,Neptunian,gas,no-atmosphere,non-habitable,,3.52,,2.64,0.19,0.50,1.15,        193.3686,        193.3686,        193.3686,950.0,950.0,950.0,,,,0.7,-25.04,5.02,6.89,0.0700,0.00,0.07,,0.0,Kepler-299,,,Dra,G,0.97,1.03,5617.0,0.947506,-0.052,,,,18.8805,48.5805,-32.5,7.8476,4,0,0.738,1.745,-2.32,2.43,-1.01,0.22,,0.00,0.00,0.23,0,0,0,1,Primary Transit,      2014.00
Kepler-299 d,Kepler-299 d,1432.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,7.73,,1.86,1.20,2.24,2.04,        68.04839,        68.04840,        68.04841,731.7,731.7,731.7,775.3,775.3,775.3,9.3,-23.13,3.53,15.05,0.1180,0.00,0.12,,0.0,Kepler-299,,,Dra,G,0.97,1.03,5617.0,0.947506,-0.052,,,,18.8805,48.5805,-31.3,4.6530,4,0,0.738,1.745,-2.23,-0.14,-0.27,0.31,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-299 e,Kepler-299 e,1432.04,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,7.92,,1.87,1.21,2.26,2.06,        19.57657,        19.57657,        19.57657,535.9,535.9,535.9,579.6,579.6,579.6,9.6,-21.78,3.56,38.29,0.2200,0.00,0.22,,0.0,Kepler-299,,,Dra,G,0.97,1.03,5617.0,0.947506,-0.052,,,,18.8805,48.5805,-30.0,2.4952,4,0,0.738,1.745,-2.03,-0.14,-0.01,0.33,0.00,0.00,0.00,0.33,0,0,0,1,Primary Transit,      2014.00
Kepler-300 b,Kepler-300 b,1435.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.14,,1.67,1.11,1.85,1.76,        105.6005,        105.6005,        105.6005,816.7,816.7,816.7,858.1,858.1,858.1,5.7,-23.37,3.17,10.45,0.0940,0.00,0.09,,0.0,Kepler-300,,,Cyg,G,0.94,0.90,5986.0,0.933086,-0.238,,,,19.6859,48.5997,-31.8,5.1041,2,0,0.716,1.678,-2.29,-0.15,-0.54,0.30,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-300 c,Kepler-300 c,1435.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,16.81,,2.25,1.47,3.32,2.73,        17.33587,        17.33587,        17.33588,519.9,519.9,519.9,567.6,567.6,567.6,24.8,-22.06,4.28,40.71,0.2320,0.00,0.23,,0.0,Kepler-300,,,Cyg,G,0.94,0.90,5986.0,0.933086,-0.238,,,,19.6859,48.5997,-29.8,2.0675,2,0,0.716,1.678,-2.01,-0.12,0.59,0.32,0.00,0.00,0.00,0.31,0,0,0,1,Primary Transit,      2014.00
Kepler-301 b,Kepler-301 b,1436.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,2.37,,1.34,0.97,1.31,1.33,        641.1633,        641.1634,        641.1635,1282.0,1282.0,1282.0,1319.6,1319.6,1319.6,2.3,-24.87,2.55,2.51,0.0360,0.00,0.04,,0.0,Kepler-301,,,Dra,G,0.91,0.90,5815.0,0.830948,-0.178,,,,18.9322,49.2330,-33.8,13.3531,3,0,0.683,1.607,-2.40,-0.16,-1.01,0.28,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-301 c,Kepler-301 c,1436.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.37,,1.34,0.97,1.31,1.33,        230.8188,        230.8188,        230.8188,993.0,993.0,993.0,1030.6,1030.6,1030.6,2.3,-23.76,2.55,5.42,0.0600,0.00,0.06,,0.0,Kepler-301,,,Dra,G,0.91,0.90,5815.0,0.830948,-0.178,,,,18.9322,49.2330,-32.7,8.0002,3,0,0.683,1.607,-2.35,-0.16,-0.92,0.28,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-301 d,Kepler-301 d,1436.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,6.10,,1.75,1.14,2.00,1.87,        66.24264,        66.24265,        66.24265,726.8,726.8,726.8,769.1,769.1,769.1,7.0,-22.97,3.32,13.75,0.1120,0.00,0.11,,0.0,Kepler-301,,,Dra,G,0.91,0.90,5815.0,0.830948,-0.178,,,,18.9322,49.2330,-31.3,4.2834,3,0,0.683,1.607,-2.24,-0.14,-0.39,0.31,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-302 b,Kepler-302 b,1486.02,Hot,Neptunian,gas,metals-rich,non-habitable,,13.26,,4.05,0.20,0.81,1.81,        38.91727,        38.91728,        38.91729,636.3,636.3,636.3,,,,2.6,-24.22,7.71,30.18,0.1930,0.00,0.19,,0.0,Kepler-302,,,Cyg,G,1.05,1.22,5740.0,1.449630,-0.238,,,,19.6211,43.6293,-30.7,3.3692,2,0,0.906,2.136,-2.16,2.97,-0.34,0.21,,0.00,0.00,0.20,0,0,0,1,Primary Transit,      2014.00
Kepler-302 c,Kepler-302 c,1486.01,Hot,Jovian,,,non-habitable,,,,12.44,,,,        5.729558,        5.729558,        5.729559,394.2,394.2,394.2,,,,,-24.58,23.82,127.28,0.5030,0.00,0.50,,0.0,Kepler-302,,,Cyg,G,1.05,1.22,5740.0,1.449630,-0.238,,,,19.6211,43.6293,-28.6,1.2926,2,0,0.906,2.136,-1.65,,,,0.00,0.00,0.00,0.22,0,0,0,1,Primary Transit,      2014.00
Kepler-303 b,Kepler-303 b,1515.01,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,0.58,,0.88,0.84,0.74,0.81,        86.83551,        86.83553,        86.83553,777.7,777.7,777.7,808.6,808.6,808.6,0.5,-21.78,1.68,1.94,0.0240,0.00,0.02,,0.0,Kepler-303,,,Lyr,K,0.59,0.48,3944.0,0.050017,0.102,,,,18.8757,43.6571,-31.6,10.6737,2,0,0.182,0.461,-2.13,-0.18,-1.17,0.29,0.00,0.00,0.00,0.31,0,0,0,1,Primary Transit,      2014.00
Kepler-303 c,Kepler-303 c,1515.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.35,,1.14,0.91,1.04,1.09,        15.39466,        15.39466,        15.39466,504.6,504.6,504.6,539.5,539.5,539.5,1.2,-20.45,2.17,7.06,0.0570,0.00,0.06,,0.0,Kepler-303,,,Lyr,K,0.59,0.48,3944.0,0.050017,0.102,,,,18.8757,43.6571,-29.7,4.4889,2,0,0.182,0.461,-1.89,-0.17,-0.79,0.33,0.00,0.00,0.00,0.38,0,0,0,1,Primary Transit,      2014.00
Kepler-304 b,Kepler-304 b,1557.01,Hot,Neptunian,gas,metals-rich,non-habitable,,4.51,,2.86,0.19,0.55,1.26,        140.6924,        140.6924,        140.6924,877.4,877.4,877.4,,,,0.9,-24.86,5.43,3.30,0.0390,0.00,0.04,,0.0,Kepler-304,,,Cyg,K,0.80,0.69,4731.0,0.213993,0.523,,,,19.6295,40.5576,-32.1,9.4392,3,0,0.367,0.897,-2.24,2.49,-0.91,0.22,,0.00,0.00,0.22,0,0,0,1,Primary Transit,      2014.00
Kepler-304 c,Kepler-304 c,1557.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,14.46,,2.17,1.41,3.06,2.58,        73.38585,        73.38585,        73.38586,745.7,745.7,745.7,792.6,792.6,792.6,20.4,-23.55,4.13,5.32,0.0540,0.00,0.05,,0.0,Kepler-304,,,Cyg,K,0.80,0.69,4731.0,0.213993,0.523,,,,19.6295,40.5576,-31.4,6.8135,3,0,0.367,0.897,-2.18,-0.13,0.10,0.31,0.00,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2014.00
Kepler-304 d,Kepler-304 d,1557.02,Hot,Neptunian,gas,metals-rich,non-habitable,,3.97,,2.74,0.19,0.53,1.20,        33.43642,        33.43643,        33.43644,612.6,612.6,612.6,,,,0.8,-23.20,5.22,9.65,0.0800,0.00,0.08,,0.0,Kepler-304,,,Cyg,K,0.80,0.69,4731.0,0.213993,0.523,,,,19.6295,40.5576,-30.6,4.5976,3,0,0.367,0.897,-2.08,2.46,-0.79,0.23,,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2014.00
Kepler-305 b,Kepler-305 b,1563.01,Hot,Neptunian,gas,metals-rich,non-habitable,,11.32,,3.61,0.24,0.87,1.77,        115.8458,        115.8458,        115.8458,835.8,835.8,835.8,,,,2.7,-25.16,6.86,5.49,0.0586,0.00,0.06,,0.0,Kepler-305,,,Cyg,K,0.83,0.87,4918.0,0.397267,-0.071,,15.8,,19.9483,40.3431,-31.9,7.9236,3,0,0.496,1.202,-2.24,2.47,-0.54,0.23,,0.00,0.00,0.20,0,0,0,1,Primary Transit,      2013.00
Kepler-305 c,Kepler-305 c,1563.02,Hot,Superterran,gas,metals-rich,non-habitable,,6.10,,3.30,0.17,0.56,1.36,        66.81301,        66.81301,        66.81303,728.4,728.4,728.4,,,,1.0,-24.37,6.28,8.29,0.0771,0.00,0.08,,0.0,Kepler-305,,,Cyg,K,0.83,0.87,4918.0,0.397267,-0.071,,15.8,,19.9483,40.3431,-31.3,6.0154,3,0,0.496,1.202,-2.18,2.90,-0.76,0.21,,0.00,0.00,0.22,0,0,0,1,Primary Transit,      2013.00
Kepler-305 d,Kepler-305 d,1563.04,Hot,Neptunian,gas,metals-rich,non-habitable,,3.82,,2.71,0.19,0.52,1.19,        27.13387,        27.13387,        27.13387,581.5,581.5,581.5,,,,0.7,-22.95,5.15,16.74,0.1210,0.00,0.12,,0.0,Kepler-305,,,Cyg,K,0.83,0.87,4918.0,0.397267,-0.071,,15.8,,19.9483,40.3431,-30.3,3.8324,3,0,0.496,1.202,-2.06,2.45,-0.78,0.23,,0.00,0.00,0.27,0,0,0,1,Primary Transit,      2014.00
Kepler-306 b,Kepler-306 b,1567.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,3.69,,1.52,1.04,1.59,1.56,        112.0569,        112.0570,        112.0570,828.9,828.9,828.9,868.7,868.7,868.7,3.8,-23.24,2.89,4.65,0.0500,0.00,0.05,,0.0,Kepler-306,,,Lyr,K,0.82,0.72,4954.0,0.280142,0.155,,,,19.2359,40.6161,-31.9,7.6797,4,0,0.415,1.006,-2.24,-0.15,-0.69,0.30,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-306 c,Kepler-306 c,1567.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,20.36,,2.35,1.57,3.68,2.94,        62.40641,        62.40641,        62.40643,716.1,716.1,716.1,764.9,764.9,764.9,31.9,-23.55,4.47,7.24,0.0670,0.00,0.07,,0.0,Kepler-306,,,Lyr,K,0.82,0.72,4954.0,0.280142,0.155,,,,19.2359,40.6161,-31.2,5.7292,4,0,0.415,1.006,-2.18,-0.12,0.40,0.31,0.00,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2014.00
Kepler-306 d,Kepler-306 d,1567.03,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,25.16,,2.46,1.68,4.14,3.20,        19.45433,        19.45433,        19.45434,535.1,535.1,535.1,585.1,585.1,585.1,42.3,-22.38,4.68,17.33,0.1200,0.00,0.12,,0.0,Kepler-306,,,Lyr,K,0.82,0.72,4954.0,0.280142,0.155,,,,19.2359,40.6161,-30.0,3.1979,4,0,0.415,1.006,-2.00,-0.11,0.94,0.31,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-306 e,Kepler-306 e,1567.04,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,17.55,,2.27,1.49,3.39,2.78,        5.436597,        5.436597,        5.436598,389.0,389.0,389.0,437.0,437.0,437.0,26.2,-20.81,4.32,44.84,0.2270,0.00,0.23,,0.0,Kepler-306,,,Lyr,K,0.82,0.72,4954.0,0.280142,0.155,,,,19.2359,40.6161,-28.6,1.6904,4,0,0.415,1.006,-1.64,-0.12,0.99,0.34,0.00,0.00,0.00,0.44,0,0,0,1,Primary Transit,      2014.00
Kepler-307 b,Kepler-307 b,1576.01,Hot,Superterran,rocky-water,metals-rich,non-habitable,,7.44,,2.43,0.52,1.26,1.75,        113.3807,        113.3807,        113.3807,831.3,831.3,831.3,871.1,871.1,871.1,3.9,-24.27,4.62,10.42,0.0859,0.00,0.09,,0.0,Kepler-307,,,Cyg,G,0.78,1.03,5445.0,0.836673,0.158,,14.1,,19.8531,40.4178,-31.9,6.3931,2,0,0.700,1.665,-2.27,0.96,-0.56,0.28,0.00,0.00,0.00,0.25,0,0,0,1,Primary Transit,      2013.00
Kepler-307 c,Kepler-307 c,1576.02,Hot,Terran,water-gas,metals-rich,non-habitable,,3.65,,2.20,0.34,0.76,1.29,        83.65391,        83.65392,        83.65393,770.5,770.5,770.5,805.5,805.5,805.5,1.3,-23.72,4.17,13.08,0.1000,0.00,0.10,,0.0,Kepler-307,,,Cyg,G,0.78,1.03,5445.0,0.836673,0.158,,14.1,,19.8531,40.4178,-31.6,5.4907,2,0,0.700,1.665,-2.24,1.37,-0.83,0.27,0.00,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2013.00
Kepler-308 b,Kepler-308 b,1593.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,12.97,,2.12,1.37,2.90,2.48,        118.1941,        118.1941,        118.1941,840.0,840.0,840.0,886.3,886.3,886.3,17.7,-24.02,4.02,9.69,0.0900,0.00,0.09,,0.0,Kepler-308,,,Cyg,G,1.04,0.94,5895.0,0.957372,-0.112,,,,19.7190,40.4395,-31.9,5.5682,2,0,0.729,1.713,-2.30,-0.13,-0.08,0.30,0.00,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2014.00
Kepler-308 c,Kepler-308 c,1593.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,14.15,,2.16,1.40,3.03,2.56,        63.28059,        63.28060,        63.28062,718.6,718.6,718.6,765.3,765.3,765.3,19.8,-23.38,4.11,15.38,0.1230,0.00,0.12,,0.0,Kepler-308,,,Cyg,G,1.05,0.94,5895.0,0.957372,-0.112,,,,19.7190,40.4395,-31.3,4.0735,2,0,0.729,1.713,-2.23,-0.13,0.12,0.31,0.00,0.00,0.00,0.27,0,0,0,1,Primary Transit,      2014.00
Kepler-309 b,Kepler-309 b,1596.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,3.99,,1.56,1.06,1.65,1.60,        65.92353,        65.92354,        65.92355,725.9,725.9,725.9,766.1,766.1,766.1,4.2,-22.71,2.96,5.92,0.0590,0.00,0.06,,0.0,Kepler-309,,,Cyg,K,0.78,0.72,4713.0,0.229480,0.415,,,,19.8340,46.9613,-31.3,6.5069,2,1,0.380,0.930,-2.17,-0.15,-0.58,0.31,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-309 c,Kepler-309 c,1596.02,Warm,Superterran,gas,metals-rich,non-habitable,,2.97,,2.51,0.19,0.47,1.09,        1.427104,        1.427104,        1.427105,278.5,278.5,278.5,,,,0.6,-19.57,4.77,105.36,0.4010,0.00,0.40,,0.0,Kepler-309,,,Cyg,K,0.78,0.72,4713.0,0.229480,0.415,,,,19.8340,46.9613,-27.1,0.9569,2,1,0.380,0.930,-0.92,2.40,-0.47,0.28,,0.00,0.00,0.67,0,0,0,1,Primary Transit,      2014.00
Kepler-310 b,Kepler-310 b,1598.03,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.54,,1.19,0.92,1.10,1.14,        63.68284,        63.68285,        63.68286,719.7,719.7,719.7,755.2,755.2,755.2,1.4,-22.08,2.26,13.93,0.1110,0.00,0.11,,0.0,Kepler-310,,,Cyg,G,0.85,0.88,5797.0,0.784636,-0.299,,,,19.2560,46.9867,-31.3,4.2259,3,0,0.664,1.564,-2.23,-0.17,-0.91,0.29,0.00,0.00,0.00,0.31,0,0,0,1,Primary Transit,      2014.00
Kepler-310 c,Kepler-310 c,1598.01,Hot,Neptunian,gas,metals-rich,non-habitable,,7.65,,3.38,0.20,0.67,1.50,        9.937012,        9.937013,        9.937016,452.3,452.3,452.3,,,,1.5,-22.34,6.43,56.48,0.2810,0.00,0.28,,0.0,Kepler-310,,,Cyg,G,0.85,0.88,5797.0,0.784636,-0.299,,,,19.2560,46.9867,-29.2,1.6690,3,0,0.664,1.564,-1.85,2.68,-0.36,0.23,,0.00,0.00,0.31,0,0,0,1,Primary Transit,      2014.00
Kepler-310 d,Kepler-310 d,1598.02,Hot,Superterran,rocky-iron,hydrogen-rich,non-habitable,,25.16,,2.46,1.68,4.14,3.20,        5.106182,        5.106182,        5.106184,383.0,383.0,383.0,433.0,433.0,433.0,42.3,-20.92,4.68,92.88,0.3920,0.00,0.39,,0.0,Kepler-310,,,Cyg,G,0.85,0.88,5797.0,0.784636,-0.299,,,,19.2560,46.9867,-28.5,1.1964,3,0,0.664,1.564,-1.60,-0.11,1.43,0.32,0.00,0.00,0.00,0.44,0,0,0,1,Primary Transit,      2014.00
Kepler-311 b,Kepler-311 b,1608.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.54,,1.70,1.12,1.91,1.80,        204.0914,        204.0915,        204.0915,962.9,962.9,962.9,1004.8,1004.8,1004.8,6.2,-24.14,3.24,9.18,0.0870,0.00,0.09,,0.0,Kepler-311,,,Lyr,G,1.06,1.19,5905.0,1.544768,-0.057,,,,18.8041,47.0855,-32.5,7.2942,2,0,0.926,2.174,-2.34,-0.15,-0.61,0.29,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-311 c,Kepler-311 c,1608.02,Hot,Terran,rocky-iron,metals-rich,non-habitable,,2.97,,1.43,1.01,1.44,1.44,        73.47292,        73.47293,        73.47295,745.9,745.9,745.9,784.6,784.6,784.6,3.0,-22.65,2.72,19.74,0.1450,0.00,0.14,,0.0,Kepler-311,,,Lyr,G,1.06,1.19,5905.0,1.544768,-0.057,,,,18.8041,47.0855,-31.4,4.3746,2,0,0.926,2.174,-2.25,-0.16,-0.71,0.30,0.00,0.00,0.00,0.30,0,0,0,1,Primary Transit,      2014.00
Kepler-312 b,Kepler-312 b,1628.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,2.04,,1.29,0.96,1.23,1.26,        2820.895,        2820.895,        2820.896,1856.7,1856.7,1856.7,1893.6,1893.6,1893.6,1.9,-26.39,2.45,1.77,0.0310,0.00,0.03,,0.0,Kepler-312,,,Cyg,F,1.23,1.47,6115.0,2.710881,0.076,,,,19.8931,42.4598,-35.4,25.4800,2,0,1.211,2.829,-2.46,-0.16,-1.16,0.27,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-312 c,Kepler-312 c,1628.01,Hot,Neptunian,gas,metals-rich,non-habitable,,6.12,,3.15,0.20,0.62,1.39,        115.8050,        115.8050,        115.8051,835.8,835.8,835.8,,,,1.2,-24.86,5.98,19.75,0.1530,0.00,0.15,,0.0,Kepler-312,,,Cyg,F,1.23,1.47,6115.0,2.710881,0.076,,,,19.8931,42.4598,-31.9,5.1219,2,0,1.211,2.829,-2.31,2.59,-0.80,0.22,,0.00,0.00,0.21,0,0,0,1,Primary Transit,      2014.00
Kepler-313 b,Kepler-313 b,1647.01,Hot,Superterran,gas,no-atmosphere,non-habitable,,3.06,,2.53,0.19,0.48,1.10,        146.4941,        146.4941,        146.4941,886.3,886.3,886.3,,,,0.6,-24.64,4.81,14.97,0.1250,0.00,0.12,,0.0,Kepler-313,,,Cyg,G,0.90,1.54,5727.0,2.288970,-0.112,,,,19.8863,48.7755,-32.2,6.5691,2,0,1.139,2.687,-2.31,2.40,-1.02,0.22,,0.00,0.00,0.24,0,0,0,1,Primary Transit,      2014.00
Kepler-313 c,Kepler-313 c,1647.02,Hot,Neptunian,gas,metals-rich,non-habitable,,3.19,,2.56,0.19,0.49,1.12,        52.90702,        52.90703,        52.90704,687.1,687.1,687.1,,,,0.6,-23.56,4.88,32.27,0.2080,0.00,0.21,,0.0,Kepler-313,,,Cyg,G,0.90,1.54,5727.0,2.288970,-0.112,,,,19.8863,48.7755,-31.1,3.9464,2,0,1.139,2.687,-2.20,2.41,-0.91,0.23,,0.00,0.00,0.25,0,0,0,1,Primary Transit,      2014.00
Kepler-314 b,Kepler-314 b,1692.02,Hot,Subterran,rocky-iron,no-atmosphere,non-habitable,,0.47,,0.83,0.82,0.68,0.75,        552.9478,        552.9478,        552.9479,1235.4,1235.4,1235.4,1265.4,1265.4,1265.4,0.4,-23.65,1.58,2.46,0.0350,0.00,0.04,,0.0,Kepler-314,,,Cyg,G,1.02,0.95,5378.0,0.677361,0.157,,,,19.6449,42.0756,-33.6,14.5036,2,0,0.632,1.507,-2.36,-0.18,-1.32,0.27,0.00,0.00,0.00,0.29,0,0,0,1,Primary Transit,      2014.00
Kepler-314 c,Kepler-314 c,1692.01,Hot,Neptunian,gas,metals-rich,non-habitable,,4.74,,2.90,0.19,0.56,1.28,        165.3713,        165.3713,        165.3714,913.6,913.6,913.6,,,,0.9,-25.07,5.51,5.96,0.0640,0.00,0.06,,0.0,Kepler-314,,,Cyg,G,1.02,0.95,5378.0,0.677361,0.157,,,,19.6449,42.0756,-32.3,7.9168,2,0,0.632,1.507,-2.30,2.51,-0.91,0.22,,0.00,0.00,0.22,0,0,0,1,Primary Transit,      2014.00
Kepler-315 b,Kepler-315 b,1707.01,Hot,Neptunian,gas,metals-rich,non-habitable,,10.59,,3.76,0.20,0.75,1.68,        6.776695,        6.776695,        6.776696,411.1,411.1,411.1,,,,2.1,-22.15,7.16,96.10,0.4020,0.00,0.40,,0.0,Kepler-315,,,Cyg,G,0.78,1.04,5796.0,1.095141,-0.403,,,,19.8682,43.3635,-28.8,1.3787,2,1,0.785,1.847,-1.72,2.84,-0.13,0.23,,0.00,0.00,0.33,0,0,0,1,Primary Transit,      2014.00
Kepler-315 c,Kepler-315 c,1707.02,Warm,Neptunian,gas,metals-rich,non-habitable,,14.16,,4.14,0.20,0.82,1.85,        1.750318,        1.750318,        1.750319,293.0,293.0,293.0,,,,2.8,-20.89,7.88,265.47,0.7910,0.00,0.79,,0.0,Kepler-315,,,Cyg,G,0.78,1.04,5796.0,1.095141,-0.403,,,,19.8682,43.3635,-27.3,0.7007,2,1,0.785,1.847,-0.99,3.01,0.36,0.24,,0.00,0.00,0.53,0,0,0,1,Primary Transit,      2014.00
Kepler-316 b,Kepler-316 b,1713.02,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,,1.07,,1.06,0.89,0.94,1.00,        103.9489,        103.9489,        103.9489,813.5,813.5,813.5,847.2,847.2,847.2,0.9,-22.38,2.02,2.24,0.0270,0.00,0.03,,0.0,Kepler-316,,,Cyg,K,0.53,0.52,4204.0,0.075779,-0.480,,,,19.3884,44.1841,-31.8,10.2773,2,0,0.222,0.557,-2.17,-0.17,-1.05,0.29,0.00,0.00,0.00,0.31,0,0,0,1,Primary Transit,      2014.00
Kepler-316 c,Kepler-316 c,1713.01,Hot,Terran,rocky-iron,metals-rich,non-habitable,,1.40,,1.15,0.91,1.05,1.10,        22.52637,        22.52638,        22.52638,555.0,555.0,555.0,590.1,590.1,590.1,1.3,-20.88,2.19,6.83,0.0580,0.00,0.06,,0.0,Kepler-316,,,Cyg,K,0.53,0.52,4204.0,0.075779,-0.480,,,,19.3884,44.1841,-30.1,4.7793,2,0,0.222,0.557,-1.98,-0.17,-0.83,0.32,0.00,0.00,0.00,0.35,0,0,0,1,Primary Transit,      2014.00
Kepler-317 b,Kepler-317 b,1760.01,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,12.15,,2.08,1.34,2.80,2.41,        194.5310,        194.5310,        194.5310,951.5,951.5,951.5,997.4,997.4,997.4,16.3,-24.52,3.96,5.52,0.0610,0.00,0.06,,0.0,Kepler-317,,,Cyg,G,0.95,0.94,5497.0,0.723850,0.258,,,,19.6629,39.0321,-32.5,8.2192,2,0,0.649,1.542,-2.32,-0.13,-0.22,0.30,0.00,0.00,0.00,0.26,0,0,0,1,Primary Transit,      2014.00
Kepler-317 c,Kepler-317 c,1760.02,Hot,Superterran,rocky-iron,metals-rich,non-habitable,,5.68,,1.71,1.13,1.93,1.82,        105.0733,        105.0733,        105.0733,815.7,815.7,815.7,857.6,857.6,857.6,6.4,-23.43,3.26,8.78,0.0830,0.00,0.08,,0.0,Kepler-317,,,Cyg,G,0.95,0.94,5497.0,0.723850,0.258,,,,19.6629,39.0321,-31.8,6.0382,2,0,0.649,1.542,-2.27,-0.15,-0.50,0.30,0.00,0.00,0.00,0.28,0,0,0,1,Primary Transit,      2014.00
Kepler-318 b,Kepler-318 b,1779.01,Hot,Neptunian,gas,metals-rich,non-habitable,,20.70,,4.70,0.20,0.94,2.10,        441.6418,        441.6419,        441.6419,1167.9,1167.9,1167.9,,,,4.1,-27.20,8.95,4.66,0.0560,0.00,0.06,,0.0,Kepler-318,,,Cyg,G,1.05,1.19,5746.0,1.384989,0.145,,,,19.8989,46.7936,-33.4,11.3430,2,0,0.885,2.087,-2.38,3.28,-0.54,0.20,,0.00,0.00,0.16,0,0,0,1,Primary Transit,      2014.00
Kepler-318 c,Kepler-318 c,1779.02,Hot,Neptunian,gas,metals-rich,non-habitable,,9.85,,3.67,0.20,0.73,1.64,        125.6226,        125.6226,        125.6226,852.9,852.9,852.9,,,,2.0,-25.29,6.99,11.82,0.1050,0.00,0.10,,0.0,Kepler-318,,,Cyg,G,1.05,1.19,5746.0,1.384989,0.145,,,,19.8989,46.7936,-32.0,6.0425,2,0,0.885,2.087,-2.30,2.80,-0.65,0.21,,0.00,0.00,0.20,0,0,0,1,Primary Transit,      2014.00
